,loss,accuracy,MeanIoU,iou_positive,iou_negative,iou_average,val_loss,val_accuracy,val_MeanIoU,val_iou_positive,val_iou_negative,val_iou_average,lr
0,-0.771460235118866,0.9223886132240295,0.46894097328186035,0.016569621860980988,0.9213123321533203,0.46894097328186035,-0.8465049862861633,0.9786441922187805,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
1,-0.8519195318222046,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8497581481933594,0.9786443114280701,0.4893221855163574,1.0569640492973532e-14,0.9786443114280701,0.48932215571403503,0.0003
2,-0.868026852607727,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8755517601966858,0.9786443710327148,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
3,-0.881097137928009,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8799316883087158,0.9786443710327148,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
4,-0.8801237344741821,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8800851702690125,0.9786443710327148,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
5,-0.8814567923545837,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8805440664291382,0.9786443710327148,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
6,-0.8816567659378052,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.880276083946228,0.9786441922187805,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
7,-0.8817602396011353,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8805745244026184,0.9786443114280701,0.4893221855163574,1.0569640492973532e-14,0.9786443114280701,0.48932215571403503,0.0003
8,-0.8818519115447998,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8806763887405396,0.9786441922187805,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
9,-0.8818395733833313,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8806729316711426,0.9786441922187805,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
10,-0.8818513751029968,0.9788972735404968,0.4894486963748932,2.2853266554276244e-15,0.9788973927497864,0.4894486963748932,-0.8806454539299011,0.9786443710327148,0.4893221855163574,1.0569640492973532e-14,0.9786443710327148,0.4893221855163574,0.0003
