,loss,accuracy,val_loss,val_accuracy,lr
0,1.9977951049804688,0.7128893733024597,1.0727286338806152,0.3199598789215088,0.001
1,1.0195395946502686,0.8424274921417236,0.43130093812942505,0.8520561456680298,0.001
2,0.6282302141189575,0.913426399230957,0.24415923655033112,0.9102306962013245,0.001
3,0.34219688177108765,0.9577873349189758,0.23815283179283142,0.9152457118034363,0.001
4,0.2662774324417114,0.965413510799408,0.2868923544883728,0.8891674876213074,0.001
5,0.1651611328125,0.9809882044792175,0.20321542024612427,0.9252758026123047,0.001
6,0.15919455885887146,0.9795918464660645,0.15675224363803864,0.9448345303535461,0.001
7,0.13941368460655212,0.9829216003417969,0.21360455453395844,0.9332998991012573,0.001
8,0.13407082855701447,0.9834586381912231,0.20081128180027008,0.9327983856201172,0.001
9,0.1309158056974411,0.9859291315078735,0.39322540163993835,0.902708113193512,0.001
10,0.1025175228714943,0.9863587617874146,0.18192465603351593,0.9493480324745178,0.001
11,0.1067207083106041,0.9865735769271851,0.5840427875518799,0.879137396812439,0.001
12,0.08484133332967758,0.9904403686523438,0.15677767992019653,0.9523570537567139,0.001
13,0.10339963436126709,0.9857142567634583,0.16574807465076447,0.9348044395446777,0.001
14,0.058015625923871994,0.9932330846786499,0.2588251531124115,0.9378134608268738,0.001
15,0.10111816972494125,0.986143946647644,0.16277572512626648,0.9538615942001343,0.001
16,0.05531378835439682,0.9931256771087646,0.2452736645936966,0.9127382040023804,0.001
17,0.04729557782411575,0.9949516654014587,0.13839367032051086,0.9598796367645264,0.0005
18,0.056959476321935654,0.9924812316894531,0.1461247205734253,0.9588766098022461,0.0005
19,0.02806474082171917,0.9973146915435791,0.1445237249135971,0.9588766098022461,0.0005
20,0.021725866943597794,0.9979591965675354,0.1348292976617813,0.9638916850090027,0.0005
21,0.020638655871152878,0.9986036419868469,0.13861559331417084,0.964894711971283,0.0005
22,0.019320132210850716,0.9981740117073059,0.13240639865398407,0.9699097275733948,0.0005
23,0.013580971397459507,0.9989258646965027,0.13532669842243195,0.9669007062911987,0.0005
24,0.047929275780916214,0.9944146275520325,0.14362095296382904,0.9643931984901428,0.0005
25,0.05086863040924072,0.9939849376678467,0.1675076186656952,0.944333016872406,0.0005
26,0.025071583688259125,0.9975295662879944,0.1438440978527069,0.95586758852005,0.0005
27,0.02022687718272209,0.9980666041374207,0.16801756620407104,0.9573721289634705,0.0005
28,0.015294852666556835,0.9984962344169617,0.15867389738559723,0.9608826637268066,0.0005
29,0.02717457339167595,0.9969924688339233,0.14548200368881226,0.9568706154823303,0.0005
30,0.027355199679732323,0.9966702461242676,0.1559915393590927,0.9503510594367981,0.0005
31,0.01216085720807314,0.9987110495567322,0.13828986883163452,0.9658976793289185,0.0005
32,0.029859205707907677,0.9963480234146118,0.18360956013202667,0.9573721289634705,0.0005
33,0.030536813661456108,0.9977443814277649,0.1395740509033203,0.9628886580467224,0.00025
34,0.016399824991822243,0.9981740117073059,0.13733583688735962,0.9663991928100586,0.00025
35,0.01189121138304472,0.9984962344169617,0.13602128624916077,0.9674022197723389,0.00025
36,0.01207507960498333,0.9987110495567322,0.13313338160514832,0.9623871445655823,0.00025
37,0.00882602296769619,0.999570369720459,0.1407131850719452,0.9638916850090027,0.00025
38,0.009095098823308945,0.9992481470108032,0.14805999398231506,0.9633901715278625,0.00025
39,0.007427929434925318,0.999570369720459,0.1477183699607849,0.9603811502456665,0.00025
40,0.011707699857652187,0.9987110495567322,0.1474258303642273,0.9598796367645264,0.00025
41,0.011739656329154968,0.9987110495567322,0.15591993927955627,0.9578736424446106,0.00025
42,0.007493282202631235,0.9994629621505737,0.13825665414333344,0.9588766098022461,0.00025
43,0.006848463322967291,0.9994629621505737,0.1480017751455307,0.9613841772079468,0.000125
44,0.006360776722431183,0.9993555545806885,0.15785787999629974,0.9603811502456665,0.000125
45,0.006617954932153225,0.9993555545806885,0.15907712280750275,0.958375096321106,0.000125
