,loss,accuracy,val_loss,val_accuracy,lr
0,2.845832109451294,0.6346938610076904,1.1581521034240723,0.6730190515518188,0.001
1,1.450604796409607,0.7683136463165283,0.6895731091499329,0.6940822601318359,0.001
2,1.045925498008728,0.8355531692504883,0.3304766118526459,0.8721163272857666,0.001
3,0.628435492515564,0.9117078185081482,0.4209554195404053,0.8254764080047607,0.001
4,0.4493391811847687,0.9375939965248108,0.2148970663547516,0.9187562465667725,0.001
5,0.33112508058547974,0.9540279507637024,0.20247378945350647,0.917753279209137,0.001
6,0.19436675310134888,0.9761546850204468,0.19839583337306976,0.9373119473457336,0.001
7,0.19567887485027313,0.9760472774505615,0.41542041301727295,0.8956870436668396,0.001
8,0.16349953413009644,0.9790548086166382,0.18501724302768707,0.9348044395446777,0.001
9,0.12574146687984467,0.9852846264839172,0.19926193356513977,0.9388164281845093,0.001
10,0.10553543269634247,0.9876477122306824,0.3026605546474457,0.9072216749191284,0.001
11,0.1408606618642807,0.9801288843154907,0.22282472252845764,0.9418254494667053,0.001
12,0.08079561591148376,0.9915145039558411,0.17654308676719666,0.9428284764289856,0.001
13,0.09554191678762436,0.9879699349403381,0.17685043811798096,0.947342038154602,0.001
14,0.06645291298627853,0.9930182695388794,0.210610032081604,0.9448345303535461,0.001
15,0.07413580268621445,0.9900107383728027,0.192451611161232,0.9483450055122375,0.001
16,0.04840535297989845,0.9948442578315735,0.2084418535232544,0.9358074069023132,0.001
17,0.09278929233551025,0.9889366030693054,0.22207295894622803,0.952858567237854,0.001
18,0.14660075306892395,0.9822770953178406,0.43351173400878906,0.9202607870101929,0.001
19,0.06036374345421791,0.9925886392593384,0.2235502302646637,0.944333016872406,0.001
20,0.08174635469913483,0.9904403686523438,0.17888016998767853,0.947342038154602,0.001
21,0.0479084774851799,0.9949516654014587,0.37019261717796326,0.9358074069023132,0.001
22,0.050718288868665695,0.994199812412262,0.2033807784318924,0.9503510594367981,0.001
23,0.022807475179433823,0.9978517889976501,0.1995994746685028,0.9598796367645264,0.0005
24,0.03605610132217407,0.9953812956809998,0.18948796391487122,0.95586758852005,0.0005
25,0.016290074214339256,0.9983888268470764,0.19912193715572357,0.9523570537567139,0.0005
26,0.011881104670464993,0.9992481470108032,0.18036890029907227,0.958375096321106,0.0005
27,0.007592496462166309,0.999570369720459,0.18021813035011292,0.9523570537567139,0.0005
28,0.00778077682480216,0.9994629621505737,0.18541394174098969,0.95586758852005,0.0005
29,0.006742936559021473,0.9997851848602295,0.2701120674610138,0.952858567237854,0.0005
30,0.007958351634442806,0.999570369720459,0.1915016919374466,0.944333016872406,0.0005
